H,e,a,q,i,om,w,ma,ad,n,per,moid,albedo
17.3,0.1178,2.287,2.017,5.88,108.15,83.07,127.85,2.56,0.285,1260,1.03,0.134759506
17.6,0.1623,2.577,2.159,9.4,50.88,252.58,323.92,3,0.2382,1510,1.17,0.134633311
18,0.1367,2.856,2.466,6.64,35.22,331.33,117.14,3.25,0.2042,1760,1.47,0.127385194
17.7,0.031,2.426,2.351,12.57,161.96,13.94,3.06,2.5,0.2608,1380,1.36,0.144331014
18.3,0.27,2.417,1.764,4.79,346.34,29.25,124.1,3.07,0.2623,1370,0.767,0.15753255
16.7,0.3012,3.08,2.152,5.75,5.65,14.91,92.96,4.01,0.1823,1970,1.16,0.142168157
17.83,0.2457,2.35,1.773,4.43,201.17,118.59,208.41,2.93,0.2736,1320,0.766,0.135791667
18.4,0.0814,2.281,2.096,4.31,345.22,25.27,127.1,2.47,0.286,1260,1.1,0.131958922
18.5,0.1298,2.751,2.394,4.1,45.95,192.71,184.38,3.11,0.216,1670,1.38,0.141240246
17.4,0.265,2.467,1.813,11.29,151.56,218.56,276.29,3.12,0.2543,1420,0.826,0.139460756
17,0.1839,2.607,2.128,12.98,226.83,208.58,100.43,3.09,0.2342,1540,1.15,0.158809566
17.75,0.0371,2.784,2.68,3.04,238.97,305.05,239.94,2.89,0.2122,1700,1.68,0.146601528
19.7,0.1406,2.319,1.993,0.23,100.09,7.71,300.84,2.65,0.2791,1290,1.01,0.130236148
16.73,0.2142,2.321,1.824,4.18,66.7,354.05,232.65,2.82,0.2787,1290,0.837,0.136008042
18.91,0.0976,1.861,1.68,23.27,150.22,241.76,176.21,2.04,0.3881,928,0.734,0.150935141
18.5,0.2168,2.324,1.82,5.87,198.92,181.51,338.89,2.83,0.2781,1290,0.823,0.129435095
19.5,0.2517,2.253,1.686,4.59,138.51,309.92,90.26,2.82,0.2914,1240,0.707,0.14175633
16.9,0.0758,3.218,2.974,10.48,8.89,183.77,318.41,3.46,0.1707,2110,1.97,0.134839846
17.7,0.2426,2.602,1.971,5.39,89.83,283.11,215.74,3.23,0.2349,1530,0.98,0.135845927
18.5,0.2046,2.678,2.13,8.18,213.16,124.71,95.37,3.23,0.2249,1600,1.14,0.148025074
18.8,0.1811,2.419,1.981,2.99,78.56,143.6,141.41,2.86,0.262,1370,0.974,0.133624257
19.6,0.246,2.281,1.72,2.48,144.55,233.01,44.29,2.84,0.2861,1260,0.723,0.15051179
17.34,0.0516,2.746,2.604,7.01,59.57,317.11,61.81,2.89,0.2167,1660,1.61,0.137879164
19.49,0.1302,2.384,2.073,12.39,200.34,5.67,67.77,2.69,0.2678,1340,1.07,0.144791613
17.9,0.223,2.651,2.06,3.62,1.17,21.79,320.01,3.24,0.2283,1580,1.06,0.128608339
17.8,0.0754,1.96,1.813,16.42,265.89,293.18,4.04,2.11,0.3591,1000,0.85,0.150349621
17.2,0.1697,2.754,2.286,8.24,234.73,121.06,250.23,3.22,0.2157,1670,1.3,0.129930035
17.8,0.2016,2.646,2.113,6.45,80.43,321.69,160.07,3.18,0.229,1570,1.13,0.139717635
17.98,0.0499,2.567,2.439,22.14,358.4,67.63,352.92,2.69,0.2397,1500,1.49,0.13930606
16.26,0.1058,3.155,2.821,9.83,229.56,306.59,202.38,3.49,0.1759,2050,1.84,0.126474285
15.96,0.0857,3.162,2.891,5.5,16,133.57,131.12,3.43,0.1753,2050,1.91,0.116491071
17.83,0.1326,2.67,2.315,2.74,237.56,40.75,26.44,3.02,0.226,1590,1.3,0.141054558
15.52,0.0903,2.614,2.378,4.02,198.37,41.26,177.1,2.85,0.2332,1540,1.37,0.151434019
17.9,0.1302,2.555,2.223,12.5,175.45,313.32,219.27,2.89,0.2413,1490,1.25,0.138687614
16.2,0.2644,2.759,2.03,3.39,82.24,169.27,131.25,3.49,0.2151,1670,1.02,0.132268482
17.4,0.2548,2.671,1.99,12.73,356.79,283.54,260.1,3.35,0.2258,1590,1.02,0.130393572
16.2,0.1922,3.19,2.577,17.07,295.71,258.58,327.05,3.8,0.173,2080,1.64,0.138125578
17.05,0.1077,1.912,1.707,23.88,141.58,273.35,248.83,2.12,0.3727,966,0.844,0.142905599
14.79,0.2318,2.535,1.948,8.33,11.25,21.9,223.32,3.12,0.2441,1470,0.956,0.128474957
17.2,0.1472,2.564,2.187,4.53,107.49,326.94,35.37,2.94,0.2401,1500,1.2,0.130914281
17.3,0.1702,2.763,2.293,13.28,94.79,267.13,101.36,3.23,0.2146,1680,1.34,0.12688086
16.76,0.1578,2.221,1.87,5.1,335.16,273.62,297.25,2.57,0.2978,1210,0.866,0.142412554
16.3,0.2774,2.626,1.898,29.75,227.64,67.06,314.37,3.35,0.2316,1550,1.03,0.148859346
20,0.4298,2.483,1.416,4.47,180.21,220.19,26.5,3.55,0.2519,1430,0.428,0.148295269
17.4,0.0924,2.588,2.349,5.16,103.94,168.76,275.95,2.83,0.2367,1520,1.33,0.128545213
15.32,0.201,3.092,2.47,16.1,247.33,205.92,168.36,3.71,0.1813,1990,1.5,0.140251979
16.8,0.1128,3.057,2.712,3.94,282.54,200.85,185.01,3.4,0.1844,1950,1.73,0.143078166
16.6,0.1984,3.186,2.554,15.45,218.39,312.71,99.66,3.82,0.1733,2080,1.59,0.153940668
17.37,0.0238,2.791,2.725,6.41,155.73,225.36,215.35,2.86,0.2113,1700,1.73,0.135208344
17.1,0.1562,3.096,2.613,2.88,185.72,235.52,211.53,3.58,0.1809,1990,1.63,0.144522883
17.1,0.0904,3.398,3.09,13.97,137.5,159.15,102.04,3.7,0.1574,2290,2.08,0.132782667
17.51,0.0626,2.804,2.628,4.58,169.48,250.11,206.3,2.98,0.21,1710,1.64,0.143303169
16.48,0.0442,3.126,2.988,7.3,304.06,201.78,185.98,3.26,0.1783,2020,2,0.143196507
18.8,0.3043,2.26,1.572,2.38,287.13,57.6,323.02,2.95,0.2901,1240,0.567,0.131365898
17.4,0.1248,3.108,2.72,9.91,69.63,329.09,300.58,3.5,0.1799,2000,1.73,0.149608851
16.48,0.1076,2.184,1.949,3.24,136.99,144.55,34.27,2.42,0.3054,1180,0.935,0.124028608
16.75,0.0936,2.709,2.456,4.72,90.2,191.22,65.1,2.96,0.221,1630,1.44,0.13294951
16.85,0.1964,2.662,2.139,10.51,204.61,110.91,290.79,3.18,0.2269,1590,1.15,0.135609776
17.4,0.1237,2.192,1.921,6.2,320.51,36.78,130.24,2.46,0.3037,1190,0.92,0.141476166
16.54,0.1758,2.79,2.299,12.3,312.2,94.19,211.92,3.28,0.2115,1700,1.35,0.121478099
19,0.205,2.418,1.922,3.7,198.44,79.51,67.65,2.91,0.2622,1370,0.911,0.138103931
16.34,0.1397,2.429,2.089,2.58,43.28,129.01,76.42,2.77,0.2604,1380,1.1,0.134180058
19.2,0.2196,2.271,1.772,24.34,26.34,317.61,153.81,2.77,0.2881,1250,0.818,0.131975759
17,0.2081,2.769,2.192,12.7,219.51,159.06,131.08,3.34,0.214,1680,1.2,0.13381239
15.51,0.0973,2.698,2.436,2.03,186.24,207.06,298.55,2.96,0.2224,1620,1.44,0.134411004
18.67,0.1643,2.632,2.2,12.96,157.4,149.21,51.39,3.06,0.2308,1560,1.2,0.125770805
14.72,0.0835,2.458,2.253,4.09,298.45,204.88,252,2.66,0.2557,1410,1.27,0.13720844
16.66,0.0559,3.048,2.877,3.47,39.69,62.95,335.01,3.22,0.1852,1940,1.9,0.1358008
18.53,0.2063,2.202,1.748,4.27,248.26,64.1,206.92,2.66,0.3017,1190,0.74,0.144196266
14.85,0.1782,3.011,2.474,12.49,145.83,260.1,51.59,3.55,0.1886,1910,1.52,0.145064891
17.23,0.0735,2.857,2.647,3.38,89.22,289.4,211.78,3.07,0.2041,1760,1.65,0.135143176
17.01,0.0356,2.657,2.563,8.71,98.18,29.7,26.29,2.75,0.2275,1580,1.58,0.142277316
18.6,0.2258,2.297,1.778,5.13,186.77,216.13,157.69,2.82,0.2831,1270,0.79,0.137047415
16.06,0.1199,3.008,2.647,5.69,2.49,343.36,353.72,3.37,0.1889,1910,1.64,0.130914463
18.2,0.2182,2.271,1.776,21.62,229.24,285.13,19.66,2.77,0.2879,1250,0.895,0.131154804
17,0.0682,3.01,2.805,8.95,297.15,167.77,321.44,3.22,0.1887,1910,1.82,0.13603026
17.18,0.0833,2.749,2.52,7.14,207.67,167.92,292.58,2.98,0.2162,1660,1.52,0.136364788
18.45,0.2722,2.43,1.769,7.31,63.86,245.61,79.66,3.09,0.2602,1380,0.77,0.148302819
16.91,0.0469,2.973,2.834,1.59,224.13,195.33,74.04,3.11,0.1922,1870,1.85,0.135604368
17.6,0.0677,2.738,2.553,0.93,321.09,74.79,164.34,2.92,0.2175,1660,1.56,0.137830857
17.7,0.1663,2.316,1.931,23.38,332.96,242.52,27.84,2.7,0.2797,1290,1.02,0.134928605
16.53,0.2507,3.148,2.359,15.96,316.62,204.37,150.58,3.94,0.1765,2040,1.38,0.156542233
15.91,0.0682,1.953,1.82,17.94,316.42,24.5,70.68,2.09,0.361,997,0.816,0.14305723
14.17,0.094,5.313,4.813,6.56,175.97,267.44,301.64,5.81,0.08049,4470,3.84,0.139959124
13.18,0.1551,3.036,2.565,10.57,301.79,191.92,14.9,3.51,0.1863,1930,1.58,0.162791032
16.04,0.1915,3.096,2.503,0.4,316.11,203.32,332.53,3.69,0.1809,1990,1.51,0.120185446
18,0.2646,3.151,2.317,13.89,173.78,297.24,142.79,3.98,0.1762,2040,1.37,0.130866212
18.6,0.1036,1.924,1.725,19.21,256.61,180.31,105.3,2.12,0.3693,975,0.74,0.141092978
17.4,0.1357,3.004,2.597,8.32,234.33,287.36,176.03,3.41,0.1893,1900,1.62,0.138399304
18.3,0.1399,2.38,2.047,9.94,33.3,339.52,195.82,2.71,0.2684,1340,1.05,0.127221471
16.05,0.1621,3.102,2.599,14.45,152.52,224.82,167.18,3.6,0.1804,2000,1.62,0.132953623
18.11,0.085,2.813,2.574,4.48,15.62,339.4,28.09,3.05,0.2089,1720,1.57,0.150607667
17.2,0.1873,2.759,2.242,17.27,130.06,38.27,43.92,3.28,0.215,1670,1.28,0.127664288
17.23,0.0621,3.232,3.031,7.73,98.6,115.08,340.98,3.43,0.1696,2120,2.03,0.143189603
18.19,0.1616,2.641,2.214,10.91,231.19,219.3,208.15,3.07,0.2297,1570,1.24,0.131854179
16.13,0.1443,3.096,2.649,11.64,319.11,341.71,262.56,3.54,0.1809,1990,1.64,0.154527902
18.84,0.0269,1.849,1.799,21.88,195.66,84.14,154.25,1.9,0.3921,918,0.835,0.133204873
18.2,0.28,2.596,1.869,30.27,182.66,245.94,82.83,3.32,0.2356,1530,1.02,0.152329583
15.26,0.1985,2.59,2.076,12.6,290.3,298.71,164.38,3.1,0.2364,1520,1.1,0.150002653
17.39,0.1191,2.471,2.177,6.61,13.75,288.93,4.18,2.77,0.2537,1420,1.17,0.149220071
16.39,0.0493,2.755,2.619,7.09,98.63,297.84,47.81,2.89,0.2156,1670,1.64,0.144608139
17.63,0.0488,2.614,2.487,3.44,226.8,82.98,28.22,2.74,0.2332,1540,1.48,0.124039215
15.65,0.1759,2.381,1.962,6.84,47.28,323.3,204.12,2.8,0.2683,1340,0.968,0.141517836
17.9,0.2,3.049,2.439,3.58,187.84,218.9,259.41,3.66,0.1851,1940,1.25,0.13097032
18.69,0.2626,2.532,1.867,12.49,199.41,111.53,19.43,3.2,0.2446,1470,0.897,0.138451523
16.72,0.1233,2.23,1.955,6.04,28.92,325.14,44.4,2.5,0.296,1220,0.955,0.140968944
19.1,0.191,2.59,2.095,1.91,154.14,239.25,178.81,3.08,0.2365,1520,1.1,0.135116577
18.4,0.2673,2.233,1.636,7.51,338.24,6.28,227.49,2.83,0.2954,1220,0.629,0.127452303
16.3,0.0739,2.426,2.247,2.84,308.82,81.01,168.78,2.61,0.2608,1380,1.25,0.127791944
16.27,0.0906,3.033,2.758,13.13,130.11,47.9,70.25,3.31,0.1866,1930,1.78,0.147846643
17.39,0.1621,2.535,2.124,8.14,104.21,166.48,236.58,2.95,0.2443,1470,1.11,0.140460226
19.1,0.2798,2.544,1.832,5.01,214.24,65.29,126.52,3.26,0.2429,1480,0.824,0.139331555
18.89,0.1149,2.55,2.257,16.42,275.43,73.85,17.45,2.84,0.2421,1490,1.31,0.131878254
18.61,0.1261,2.292,2.003,7.61,110.9,182.85,243.47,2.58,0.284,1270,0.988,0.144827141
18.06,0.05,2.192,2.082,4.89,198.62,74.85,258.74,2.3,0.3038,1190,1.07,0.148573595
15.56,0.2688,2.529,1.849,7.18,27.36,345.51,337.38,3.21,0.245,1470,0.852,0.112461307
17.01,0.1443,2.412,2.064,4.22,68.2,283.19,325.63,2.76,0.2631,1370,1.06,0.148719192
17.37,0.0391,2.575,2.474,3.88,56.49,265.09,76.28,2.68,0.2386,1510,1.47,0.153239055
16.67,0.121,2.199,1.933,5.35,341.3,258.57,151.62,2.47,0.3022,1190,0.931,0.161008511
16.63,0.1013,3.151,2.832,8.85,291.7,359.3,77.86,3.47,0.1762,2040,1.82,0.147024888
17.23,0.1,2.582,2.324,4.3,2.76,139.94,308.39,2.84,0.2375,1520,1.34,0.130862784
17.45,0.1345,2.593,2.244,1.97,294.68,84,13.65,2.94,0.236,1530,1.25,0.143618378
17.12,0.0688,2.965,2.761,6.21,303.4,147.52,272.31,3.17,0.193,1870,1.78,0.119537971
18.6,0.2084,2.772,2.195,5.36,136.54,223.65,89.49,3.35,0.2135,1690,1.2,0.133616326
17.5,0.1415,2.45,2.103,4.24,318.66,199.34,46.13,2.8,0.257,1400,1.11,0.144285956
16.38,0.0636,2.521,2.361,14.36,36.97,304.88,167.08,2.68,0.2462,1460,1.38,0.133125239
17.21,0.1028,2.287,2.052,5.84,129.07,340.53,86.19,2.52,0.2849,1260,1.07,0.141660016
17.9,0.1947,2.734,2.202,9.08,279.61,6.1,57.02,3.27,0.218,1650,1.25,0.145332072
16.1,0.1563,2.428,2.048,3.03,51.18,159.61,137.17,2.81,0.2606,1380,1.04,0.150059429
15.6,0.1261,3.023,2.641,10.16,191.88,152.78,347.19,3.4,0.1876,1920,1.64,0.134996973
15.94,0.0441,2.722,2.602,16.43,181.73,290.12,173.87,2.84,0.2195,1640,1.65,0.132894724
17.2,0.0886,3.015,2.748,11.76,98.01,147.33,181.73,3.28,0.1882,1910,1.74,0.149984517
17.6,0.1798,3.198,2.623,19.27,77.56,104.63,77.64,3.77,0.1724,2090,1.7,0.131775848
17.7,0.1798,2.668,2.188,15.16,312.24,189.23,38.08,3.15,0.2262,1590,1.2,0.138650049
16.92,0.1216,2.981,2.618,11.57,116.56,256.22,290.47,3.34,0.1915,1880,1.65,0.138469695
18.2,0.0674,2.54,2.369,14.97,131.51,282.71,234.37,2.71,0.2434,1480,1.43,0.135024365
17.2,0.2009,2.737,2.188,15.86,49.96,219.74,193.83,3.29,0.2176,1650,1.2,0.140008289
17.09,0.1155,2.442,2.16,0.9,50.27,0.21,189.41,2.72,0.2583,1390,1.17,0.148329481
16.65,0.1537,2.637,2.232,14.53,78.41,333.61,120.97,3.04,0.2301,1560,1.25,0.149545837
17.07,0.0672,2.879,2.686,7.55,123.03,275.59,149.87,3.07,0.2018,1780,1.71,0.144306038
17.8,0.1144,2.697,2.388,13.53,140.93,356.14,119.64,3.01,0.2226,1620,1.4,0.132130237
18.4,0.2374,2.758,2.103,14.43,70.99,257.48,61.98,3.41,0.2152,1670,1.25,0.141547902
15.73,0.0964,3.414,3.085,13.29,342.98,340.75,36.98,3.74,0.1562,2300,2.08,0.125159532
17.24,0.112,2.598,2.307,12.98,298.59,343.85,329.93,2.89,0.2354,1530,1.29,0.148770054
17.2,0.0943,3.021,2.736,11.59,328.8,136.51,211.93,3.31,0.1877,1920,1.77,0.117497718
19,0.1843,2.559,2.088,4,332.4,24.47,32.1,3.03,0.2407,1500,1.08,0.134638957
21.2,0.2119,2.195,1.73,5.2,214.82,56.04,315.74,2.66,0.3031,1190,0.721,0.139485473
20.2,0.0783,2.535,2.337,11.38,153.19,344.79,342.77,2.73,0.2441,1470,1.35,0.154874922
16.78,0.1707,2.939,2.437,15.39,163.05,319.82,264.58,3.44,0.1956,1840,1.47,0.145635554
16.81,0.1156,2.613,2.311,13.96,39.18,127.1,278.21,2.92,0.2333,1540,1.34,0.135541137
18.17,0.2101,3.024,2.389,5.64,185.91,93.92,16.71,3.66,0.1874,1920,1.38,0.126542735
17.81,0.0439,2.771,2.649,4.08,172.89,131.35,348.97,2.89,0.2137,1680,1.64,0.134841795
17.01,0.0665,2.536,2.367,14.21,272.12,324.73,197.89,2.7,0.2441,1480,1.37,0.141447108
15.85,0.147,2.377,2.027,6.93,82.24,273.95,104.89,2.73,0.269,1340,1.04,0.142184482
16.8,0.0339,3.168,3.061,7.98,119.34,18.73,351.72,3.28,0.1748,2060,2.08,0.138766918
18.1,0.2254,2.549,1.974,12.88,49.65,43.78,318.29,3.12,0.2422,1490,1.01,0.138473229
16.99,0.1981,2.417,1.938,0.88,357.13,355.75,193.44,2.9,0.2622,1370,0.934,0.148972444
17.5,0.167,2.552,2.126,2.1,249.34,246.97,116.79,2.98,0.2417,1490,1.14,0.147003262
18.5,0.326,2.625,1.769,5.16,257.37,108.82,199.72,3.48,0.2317,1550,0.777,0.134518434
16.68,0.0856,2.789,2.55,4.92,95.64,324.61,18.3,3.03,0.2116,1700,1.56,0.142414471
18.9,0.2016,2.157,1.722,3.57,45,333.58,130.95,2.59,0.3111,1160,0.726,0.135075029
17.6,0.0587,2.765,2.603,2.59,117.58,195,224.8,2.93,0.2143,1680,1.59,0.141594859
20.65,0.0452,1.832,1.749,21.97,206.36,271.8,53.08,1.91,0.3976,905,1.25,0.145566245
16.3,0.0049,3.154,3.138,9.99,220.76,271.57,281.94,3.17,0.176,2050,2.15,0.152667285
18.6,0.2024,2.227,1.776,3.12,125.46,189.27,14.63,2.68,0.2966,1210,0.764,0.143747668
17.7,0.2015,3.011,2.404,3.28,84.94,344.79,233.57,3.62,0.1886,1910,1.42,0.143967278
16.5,0.2765,3.053,2.209,3.84,149.16,172.06,357.4,3.9,0.1848,1950,1.2,0.145873572
17,0.064,2.687,2.515,13.73,344.92,248.79,290.63,2.86,0.2237,1610,1.54,0.131467616
18.8,0.1374,2.573,2.22,10.46,143.29,1.31,50.75,2.93,0.2388,1510,1.23,0.129524398
16.08,0.1882,2.795,2.269,12.49,257.46,149.46,26.65,3.32,0.211,1710,1.29,0.134357694
17.89,0.03,2.53,2.454,3.52,7.1,116.56,294.83,2.61,0.245,1470,1.47,0.136271255
17.88,0.2646,2.674,1.966,11.92,325.81,74.26,9.2,3.38,0.2254,1600,1.01,0.151899378
18.3,0.1937,2.631,2.121,9.7,165.84,34.09,134.68,3.14,0.231,1560,1.13,0.1267189
17.93,0.081,3.088,2.838,10.6,209.41,184.37,22.22,3.34,0.1816,1980,1.84,0.143922922
17.97,0.1185,2.489,2.194,8.99,132.8,50.96,85.31,2.78,0.2511,1430,1.21,0.153473354
18.16,0.0639,2.698,2.525,7.26,336.66,167.45,268.36,2.87,0.2224,1620,1.54,0.162958224
16.11,0.2943,3.059,2.159,16.46,114.72,264.51,335.16,3.96,0.1842,1950,1.23,0.156354086
18.2,0.0802,2.79,2.567,5.07,47.59,327.13,1.75,3.01,0.2114,1700,1.57,0.131406007
19.4,0.1455,2.595,2.217,4.56,140.46,244.58,226.52,2.97,0.2358,1530,1.23,0.143800401
15.68,0.192,3.115,2.517,15.38,243.06,156.97,334.93,3.71,0.1792,2010,1.53,0.142961091
19.04,0.0246,2.567,2.504,1.67,117.69,252.85,171.53,2.63,0.2396,1500,1.5,0.139236931
18.2,0.1718,2.553,2.114,7.68,45.21,322.86,138.7,2.99,0.2417,1490,1.12,0.139899135
17.02,0.1475,2.359,2.011,5.79,231.58,107.36,61.94,2.71,0.272,1320,1.01,0.156481572
15.72,0.2498,3.092,2.319,14.11,217.05,213.56,26.95,3.86,0.1813,1990,1.35,0.145376658
18.7,0.191,2.409,1.949,1.34,277.57,69.18,116.47,2.87,0.2636,1370,0.943,0.158269986
16.9,0.2221,2.55,1.984,8.29,139.17,303.92,129.55,3.12,0.2421,1490,1.01,0.146872328
17.6,0.1952,3,2.414,2.76,236.56,180.2,96.93,3.59,0.1897,1900,1.43,0.154790848
16.96,0.2053,2.353,1.87,0.09,50.36,258.19,245.89,2.84,0.273,1320,0.856,0.141602231
17.4,0.0858,2.814,2.573,1.41,326.72,70.66,305.77,3.06,0.2088,1720,1.58,0.137430588
16.13,0.0667,3.102,2.895,9.73,210.3,42.03,134.2,3.31,0.1804,2000,1.89,0.157154769
18.6,0.1299,2.391,2.081,4.36,161.86,269.55,164.57,2.7,0.2665,1350,1.1,0.155529561
16.65,0.0631,3.078,2.884,10.53,171.07,176.52,16.35,3.27,0.1825,1970,1.88,0.133588483
17.6,0.0575,2.543,2.397,13.67,324.75,111.62,198.37,2.69,0.243,1480,1.45,0.145714153
22.9,0.6062,2.512,0.989,22.45,155.69,333.01,86.17,4.04,0.2475,1450,0.0386,0.158523869
16.06,0.2566,2.632,1.956,6.55,168.53,347.36,136.49,3.31,0.2308,1560,0.967,0.154020583
18,0.2875,2.654,1.891,13.02,171.01,100.8,204.13,3.42,0.2279,1580,0.928,0.130444933
17.16,0.0701,2.916,2.711,12.47,30.07,342.51,53.69,3.12,0.198,1820,1.72,0.129680495
14.46,0.1383,2.629,2.265,13.98,312.21,179.27,168.6,2.99,0.2313,1560,1.28,0.122115304
18.9,0.1815,2.41,1.973,8.23,67.94,14.1,355.6,2.85,0.2634,1370,0.99,0.13803848
15.94,0.1808,3.128,2.563,16.88,245.93,14.96,157,3.69,0.1781,2020,1.55,0.12520251
18.93,0.2326,2.709,2.079,2.79,65.97,299.46,34.72,3.34,0.221,1630,1.08,0.150961232
19.41,0.1408,1.846,1.586,20.79,2.69,290.4,104.25,2.11,0.3929,916,0.664,0.155208481
18.9,0.2058,2.562,2.035,2.89,247.62,112.5,105.17,3.09,0.2404,1500,1.03,0.132045943
15.63,0.1834,2.776,2.267,5.35,184.6,165.07,60.6,3.29,0.2131,1690,1.26,0.138447711
19.2,0.1839,2.216,1.809,8.91,35.15,276.71,176.23,2.62,0.2987,1210,0.823,0.129354681
18.7,0.0603,1.856,1.744,17.91,262,339.2,30.44,1.97,0.3897,924,0.735,0.141633131
18.2,0.1694,2.751,2.285,7.48,0.08,129.46,335.31,3.22,0.2161,1670,1.31,0.136586886
17.3,0.027,2.692,2.619,6.16,36.4,136.13,316.47,2.76,0.2232,1610,1.63,0.146844706
16.9,0.3245,2.599,1.756,28.08,295.98,253.1,163.33,3.44,0.2352,1530,0.934,0.123452625
16.04,0.1204,2.598,2.285,15.18,163.29,144.25,247.82,2.91,0.2353,1530,1.29,0.14769184
17.13,0.1315,2.511,2.181,13.84,65.55,56.04,289.92,2.84,0.2477,1450,1.23,0.145050044
16.52,0.1396,3.22,2.77,19.12,20.51,62.2,28.12,3.67,0.1706,2110,1.84,0.126930129
27.11,0.2245,1.112,0.862,3.75,334.09,91.75,340.84,1.36,0.8406,428,0.0159,0.142407186
17.56,0.1432,2.623,2.247,12.46,218.61,243.24,5.84,3,0.232,1550,1.29,0.151337462
17.33,0.0109,3.097,3.063,9.97,23.84,126.21,102.76,3.13,0.1809,1990,2.07,0.110075952
19,0.2173,2.209,1.729,1.25,329.64,43.43,123.35,2.69,0.3002,1200,0.73,0.129540719
20.2,0.248,2.212,1.663,4.15,304.95,28.81,52.71,2.76,0.2996,1200,0.655,0.124199699
19.05,0.2078,2.316,1.835,6.18,78.89,336.3,213.03,2.8,0.2796,1290,0.849,0.163591011
24.1,0.5702,2.492,1.071,7.74,85.57,350.19,1.72,3.91,0.2505,1440,0.0886,0.149210646
17.9,0.0927,2.528,2.294,9.98,206.59,217.46,273.65,2.76,0.2452,1470,1.31,0.135412964
18.6,0.1547,2.336,1.975,3.26,71.38,114.35,17.47,2.7,0.276,1300,0.98,0.132616441
18.4,0.3094,2.606,1.8,22.03,47.03,352.95,14.17,3.41,0.2343,1540,0.81,0.127993223
17.06,0.152,3.168,2.687,14.17,65.38,262.08,147,3.65,0.1748,2060,1.72,0.147653957
17.04,0.1952,2.634,2.12,11.81,96.84,303.3,2.32,3.15,0.2306,1560,1.15,0.136110619
17.9,0.2208,2.604,2.029,5.92,310,295.05,171.43,3.18,0.2345,1540,1.03,0.159829148
17.79,0.2857,2.719,1.942,16.72,214.54,126.13,101.38,3.5,0.2199,1640,0.985,0.13434687
18.7,0.5052,2.757,1.364,25.38,322.08,2.15,262.3,4.15,0.2153,1670,0.353,0.157324153
17.9,0.1465,2.373,2.025,5.39,310.46,283.08,311.81,2.72,0.2697,1330,1.02,0.147643456
19.7,0.3507,2.278,1.479,21.62,152.22,258.3,58.48,3.08,0.2866,1260,0.635,0.148719849
18.2,0.0519,2.537,2.405,6.95,280.92,137.13,297.56,2.67,0.2439,1480,1.42,0.150762968
17.48,0.1911,2.364,1.912,6.64,58.97,195.37,172.5,2.82,0.2712,1330,0.9,0.165618414
16.28,0.1314,2.697,2.342,10.44,51.64,201.17,108.78,3.05,0.2226,1620,1.33,0.146743861
17.39,0.1044,2.722,2.438,10.17,253.93,288.04,229.6,3.01,0.2195,1640,1.46,0.127180713
25,0.5939,2.406,0.977,5.86,9.53,342.94,159.71,3.83,0.2641,1360,0.00381,0.129552233
17.95,0.2071,2.659,2.109,3.42,265.84,159.78,315.86,3.21,0.2273,1580,1.12,0.128617402
15.74,0.0375,3.145,3.027,8.42,236.64,54.58,282.67,3.26,0.1767,2040,2.02,0.149326826
15.49,0.1298,2.302,2.003,7.09,350.65,8.15,186.12,2.6,0.2822,1280,1,0.147530981
19.73,0.1849,2.235,1.822,2.17,127.64,271.58,8.88,2.65,0.295,1220,0.831,0.15242017
19.4,0.2371,2.413,1.841,5.9,106.47,210.04,235.43,2.99,0.2629,1370,0.831,0.12776114
6.9,0.0613,45.34,42.557,2.65,134.34,95.4,105.88,48.12,0.003229,112000,41.5,0.147435652
18.7,0.1442,1.843,1.577,15.64,286.26,95.23,106.59,2.11,0.3939,914,0.673,0.141394229
16.73,0.1311,2.277,1.978,6.02,30.89,21.19,169.44,2.57,0.2869,1250,0.99,0.130604747
18.9,0.1869,2.224,1.809,7.64,170.82,50.95,21.91,2.64,0.2971,1210,0.814,0.130458432
15.42,0.1319,2.375,2.062,6.35,303.29,9.66,119.71,2.69,0.2693,1340,1.05,0.144549291
15.99,0.1819,2.348,1.921,2.99,48.78,12.51,292.6,2.77,0.274,1310,0.934,0.136323451
16.62,0.1636,2.674,2.237,11.83,190.73,277.16,332.51,3.11,0.2254,1600,1.29,0.142302018
17.29,0.1192,2.868,2.526,5.16,279.71,57.94,57.02,3.21,0.2029,1770,1.52,0.132842166
17.59,0.0603,3.046,2.862,8.89,238.74,201.75,258.55,3.23,0.1854,1940,1.88,0.150752313
18.85,0.2813,2.615,1.88,5.59,234.16,166.3,338.12,3.35,0.233,1540,0.889,0.16090046
18.35,0.0809,2.721,2.5,5.19,24.92,269.11,108.15,2.94,0.2196,1640,1.49,0.137370829
16.5,0.0572,3.119,2.94,13.8,128.76,59.71,355.76,3.3,0.1789,2010,1.97,0.148878347
17.3,0.2603,3.984,2.947,1.75,32.43,6.53,3.49,5.02,0.1239,2900,1.95,0.153642757
18.1,0.2526,2.655,1.984,16.67,287.51,144.22,171.38,3.33,0.2278,1580,1.02,0.143888073
14.09,0.0592,5.181,4.875,8.01,174.23,90.72,11.74,5.49,0.08357,4310,3.87,0.144567253
17.72,0.2716,3.205,2.334,13.42,5.22,55.28,27.44,4.07,0.1718,2100,1.38,0.145756715
16.93,0.1077,2.837,2.531,15.92,60.12,48.6,53.79,3.14,0.2063,1740,1.57,0.159587947
