H,e,a,q,i,om,w,ma,ad,n,per,moid,albedo
16.98,0.1254,3.088,2.701,9.62,57.22,244.32,83.48,3.47,0.1817,1980,1.7,0.128313659
18.3,0.1155,2.345,2.074,4.35,240.58,358.95,304.6,2.62,0.2745,1310,1.06,0.139931814
18.77,0.1798,2.356,1.932,1.79,319.73,151.31,143.96,2.78,0.2725,1320,0.949,0.139119016
17.3,0.304,2.705,1.883,3.02,138.12,232.23,68.6,3.53,0.2216,1620,0.885,0.152778367
16.6,0.132,2.35,2.04,6.95,164.23,208.64,228.86,2.66,0.2736,1320,1.04,0.130667979
18,0.1284,2.178,1.898,8.71,265.51,41.6,235.21,2.46,0.3066,1170,0.893,0.132231215
17.4,0.1286,2.667,2.324,5.86,194.05,155.99,177.41,3.01,0.2263,1590,1.32,0.131292294
21.2,0.4298,1.815,1.035,8.18,96.88,25.38,102.37,2.6,0.4029,893,0.0674,0.123014604
16.2,0.1958,3.188,2.564,26.12,46.78,269.88,161.32,3.81,0.1732,2080,1.71,0.136811507
18.45,0.2304,2.402,1.848,22.02,334.35,299.61,23.76,2.95,0.2648,1360,0.918,0.144935263
16.28,0.2045,3.183,2.532,17.21,41.18,10.67,305.22,3.83,0.1735,2070,1.54,0.125161691
17.2,0.2245,3.164,2.454,18.84,237.82,221.88,12.73,3.87,0.1751,2060,1.5,0.146373744
15.64,0.0971,3.123,2.82,7.11,133.94,213.89,34.03,3.43,0.1786,2020,1.82,0.126965952
18.23,0.1909,2.431,1.967,1.57,43.28,16.94,1.29,2.9,0.26,1380,0.98,0.145201504
18.5,0.2017,2.18,1.74,6.31,39.22,314.07,353.38,2.62,0.3063,1180,0.743,0.135554259
17.8,0.0505,2.743,2.604,2.74,280.93,338.74,125.27,2.88,0.217,1660,1.59,0.144715637
18.2,0.1588,3.037,2.554,4.58,287.93,177.54,57.83,3.52,0.1863,1930,1.57,0.144271747
18.9,0.0242,2.569,2.507,5.39,197.46,337.54,96.66,2.63,0.2394,1500,1.51,0.148568361
15.61,0.023,2.99,2.921,9.13,191.1,172.4,207.65,3.06,0.1907,1890,1.92,0.157355124
16.6,0.1659,3,2.502,10.66,175.2,236.59,247.11,3.5,0.1897,1900,1.53,0.133357673
18.16,0.2168,1.995,1.563,20.91,144.54,192.17,64.31,2.43,0.3497,1030,0.556,0.145208678
17.33,0.1089,3.001,2.674,8.45,266.65,65.82,66.91,3.33,0.1896,1900,1.68,0.147224869
17.3,0.0048,2.587,2.574,12.63,104.78,164.48,112.8,2.6,0.2369,1520,1.56,0.138347977
17.5,0.1237,3.017,2.644,9.39,295.95,99.44,170.46,3.39,0.1881,1910,1.67,0.149166886
17.1,0.106,2.518,2.251,14.67,85.32,256.81,193.88,2.78,0.2467,1460,1.29,0.148299203
18.5,0.2292,2.293,1.768,5.09,167.47,227.2,63.26,2.82,0.2838,1270,0.779,0.131729175
17.2,0.1492,3.154,2.684,2.33,128,330.93,145.67,3.62,0.176,2050,1.7,0.143471395
18.2,0.2562,2.229,1.658,14.7,270.12,212.15,342.19,2.8,0.2961,1220,0.691,0.120130301
18.9,0.1346,2.333,2.019,2.1,125.68,7.98,133.19,2.65,0.2766,1300,1.03,0.144925723
17.8,0.1928,2.006,1.619,9.07,271.95,118.36,180.61,2.39,0.3469,1040,0.65,0.146387167
16.51,0.3446,3.141,2.059,26.28,14.29,117.95,326.29,4.22,0.177,2030,1.18,0.13467078
18.3,0.0704,2.277,2.116,7.38,87.52,194.81,228.28,2.44,0.2869,1250,1.1,0.126020233
17.3,0.073,2.86,2.652,2.59,151.68,184.81,83.76,3.07,0.2037,1770,1.64,0.142546944
17.14,0.2072,2.224,1.763,10.78,125.16,179.15,33.07,2.68,0.2972,1210,0.749,0.13464031
23.9,0.2131,1.176,0.926,23.16,71.39,278.27,114.65,1.43,0.7724,466,0.0911,0.138388471
18,0.0874,2.805,2.56,1.45,127.46,260.36,336.68,3.05,0.2097,1720,1.57,0.14887658
17.8,0.0558,3.024,2.855,9.89,169.51,234.04,323.5,3.19,0.1875,1920,1.87,0.15063974
16.7,0.1469,3.131,2.672,16.49,325.34,197.84,281.8,3.59,0.1779,2020,1.69,0.139691522
18.78,0.0627,1.89,1.772,23.36,162.05,54.52,156.37,2.01,0.3792,949,0.813,0.140849996
26.7,0.5971,2.34,0.943,0.37,238.53,225.58,10.03,3.74,0.2753,1310,0.00188,0.143321187
17.76,0.0899,2.773,2.524,4.12,30.45,319.7,311.65,3.02,0.2135,1690,1.52,0.167099442
17.5,0.0773,2.691,2.483,6.41,61.45,329.77,70.43,2.9,0.2233,1610,1.49,0.140804175
17,0.3729,3.048,1.911,14.68,104.45,329.48,201.01,4.18,0.1852,1940,0.941,0.129558791
19.7,0.2618,2.213,1.634,3.48,174.99,202.43,252.37,2.79,0.2994,1200,0.636,0.14767756
17.5,0.373,3.158,1.98,29.62,188.04,225.4,56.03,4.34,0.1756,2050,1.06,0.146078143
18.5,0.2999,2.663,1.864,11.18,72.81,280.57,36.04,3.46,0.2269,1590,0.899,0.143961617
14.8,0.1346,2.166,1.874,2.84,1.22,7.21,273.28,2.46,0.3092,1160,0.874,0.134421428
15.33,0.0798,2.366,2.177,6.21,275.95,159.13,129.52,2.55,0.2709,1330,1.19,0.128857343
19.7,0.2024,2.401,1.915,14.74,326.67,19.52,27.06,2.89,0.265,1360,0.913,0.13121144
18.03,0.2015,2.436,1.946,3.19,174.6,226.41,308.68,2.93,0.2592,1390,0.955,0.12952815
16.02,0.037,3.151,3.035,4.52,2.91,354.6,295.46,3.27,0.1762,2040,2.03,0.159707775
18.5,0.1266,1.95,1.703,23.54,142.38,261.84,314.35,2.2,0.3619,995,0.82,0.128725769
17.77,0.1647,2.281,1.906,1.22,187.36,38.78,102.3,2.66,0.2861,1260,0.897,0.139049238
16,0.0957,2.331,2.108,5.21,140.41,110.5,234.92,2.55,0.277,1300,1.1,0.148893295
18.3,0.1375,2.235,1.927,5.83,85.08,167.44,341.34,2.54,0.2951,1220,0.914,0.133774781
16.5,0.0349,3.183,3.072,8.93,198.66,17.43,210.46,3.29,0.1735,2070,2.07,0.132566295
17.5,0.0546,3.032,2.867,7.24,221.93,163.56,152.88,3.2,0.1867,1930,1.87,0.129274499
16.1,0.0563,3.182,3.003,10.47,58.2,43.53,358.04,3.36,0.1737,2070,2.03,0.141958655
16.51,0.0502,2.655,2.521,21.2,228.16,219.35,101.2,2.79,0.2279,1580,1.55,0.133427267
17.79,0.2231,2.614,2.031,12.19,3.42,61.83,318.31,3.2,0.2333,1540,1.07,0.142804025
18,0.1041,2.445,2.19,6.26,212.78,85.34,217.71,2.7,0.2578,1400,1.19,0.130808876
17.55,0.3101,2.282,1.574,2.56,135.69,338.72,71.11,2.99,0.286,1260,0.591,0.115727682
17.67,0.1276,2.392,2.087,7.24,225.82,93.84,261.19,2.7,0.2664,1350,1.09,0.125784124
16.8,0.2142,3.156,2.48,16.95,354.45,321.14,111.68,3.83,0.1758,2050,1.49,0.119132691
16.34,0.1562,2.299,1.94,1.55,94.09,42.88,205.48,2.66,0.2827,1270,0.954,0.150381666
18.2,0.1981,2.635,2.113,11.26,332.93,22.04,111.36,3.16,0.2304,1560,1.11,0.178066406
16.67,0.1201,3.098,2.726,16.79,95.14,270.03,337.51,3.47,0.1808,1990,1.79,0.16972092
17.3,0.1538,3.118,2.639,0.33,31.31,356.52,61.19,3.6,0.179,2010,1.64,0.138497273
18.8,0.151,2.183,1.853,1.32,51.68,193.47,33,2.51,0.3056,1180,0.841,0.137517454
17,0.1514,2.242,1.902,6.76,228.99,82.14,345.63,2.58,0.2937,1230,0.903,0.141222624
18.8,0.2921,2.642,1.87,12.31,12.22,33.23,127.58,3.41,0.2295,1570,0.891,0.154226682
17.64,0.0481,2.232,2.124,6.72,81.4,147.1,30.8,2.34,0.2956,1220,1.12,0.13733145
16.3,0.0629,2.88,2.699,5.76,201.96,213.94,77.64,3.06,0.2017,1790,1.71,0.128211023
16.4,0.0802,3.401,3.128,8.71,20.4,78.56,21.68,3.67,0.1571,2290,2.16,0.132294703
17.78,0.1234,2.344,2.055,1.81,147.48,35.91,65.43,2.63,0.2746,1310,1.06,0.155248807
17.8,0.19,2.219,1.798,5.63,305.63,152.53,4.51,2.64,0.2981,1210,0.817,0.129137365
16.13,0.1721,2.216,1.835,6.11,79.92,199.99,4.81,2.6,0.2987,1210,0.821,0.132199732
17.6,0.1384,2.552,2.199,10.29,98.79,237.2,199.76,2.91,0.2418,1490,1.21,0.141131007
16.88,0.2209,2.473,1.927,3.94,70.63,264.46,207.24,3.02,0.2535,1420,0.922,0.147851276
16.11,0.1208,2.775,2.44,5.23,331.8,353.19,264.5,3.11,0.2132,1690,1.43,0.137460498
16.4,0.1087,3.094,2.758,20.95,252.92,38.58,192.52,3.43,0.1811,1990,1.77,0.127925033
13.39,0.0826,5.289,4.852,1.02,19.45,46.36,344.27,5.73,0.08102,4440,3.87,0.128070147
16.59,0.0693,2.852,2.654,1.23,219.92,106.85,275.71,3.05,0.2047,1760,1.64,0.135621823
17.8,0.1087,2.659,2.37,4.46,73.53,53.61,355.07,2.95,0.2273,1580,1.39,0.133181392
18.8,0.281,2.52,1.812,4.3,346.41,308.97,164.46,3.23,0.2464,1460,0.801,0.148157555
17.26,0.208,2.596,2.056,4.25,312.59,224.2,231.73,3.14,0.2356,1530,1.06,0.150726497
16.1,0.0746,3.377,3.125,11.73,3.4,50.33,63.63,3.63,0.1588,2270,2.15,0.147807456
17.26,0.111,3.022,2.686,12.31,41.81,64.59,137.24,3.36,0.1876,1920,1.73,0.123096393
16.5,0.1863,2.792,2.272,13.08,232.83,38.31,263.03,3.31,0.2112,1700,1.27,0.148746073
16.74,0.2867,2.671,1.905,7.4,260.69,146.47,118.88,3.44,0.2258,1590,0.92,0.159785176
17.41,0.0428,2.377,2.275,8.3,205.22,308.51,313.38,2.48,0.269,1340,1.29,0.141148461
15.88,0.1794,2.695,2.212,3.39,41.33,33.68,107.51,3.18,0.2227,1620,1.23,0.126764522
16.79,0.1435,3.128,2.679,11.21,136.1,356.17,207.22,3.58,0.1782,2020,1.69,0.133464225
17.8,0.106,2.686,2.401,2.32,354.04,338.84,271.56,2.97,0.2239,1610,1.39,0.137448059
19.7,0.1957,2.295,1.846,2.52,346,7.82,37.99,2.74,0.2835,1270,0.841,0.137785827
18.3,0.1668,2.377,1.98,2.48,42.08,24.6,304.74,2.77,0.269,1340,0.994,0.139653918
17.34,0.0829,2.361,2.166,7.15,156.32,84.32,142.98,2.56,0.2716,1330,1.17,0.137836746
18.07,0.0833,2.701,2.476,5.19,18.35,71.85,271.31,2.93,0.222,1620,1.5,0.137368517
16.5,0.0424,3.178,3.043,16.37,25.96,193.3,259.89,3.31,0.174,2070,2.04,0.144100148
18.8,0.1837,2.287,1.867,4.35,29.12,185.27,201.61,2.71,0.2849,1260,0.862,0.142671233
16.75,0.1411,2.287,1.964,9.47,92.13,210.61,272.58,2.61,0.285,1260,0.956,0.129716176
15.35,0.1468,2.601,2.219,6.98,190.16,31.99,315.48,2.98,0.2349,1530,1.22,0.154260451
18.4,0.2609,2.723,2.013,18.67,134.06,164.47,139.82,3.43,0.2194,1640,1,0.10736634
16.34,0.1923,2.859,2.309,17.01,150.93,211.7,201.36,3.41,0.2039,1770,1.32,0.137894577
19,0.1602,2.433,2.044,2.23,49.3,32.8,218.56,2.82,0.2597,1390,1.06,0.128340981
16.5,0.1665,2.893,2.412,20.37,7.28,6.77,253.98,3.38,0.2003,1800,1.41,0.141231897
15.6,0.2147,2.611,2.051,25.78,312.76,113.11,149.24,3.17,0.2336,1540,1.18,0.139709586
18,0.2772,2.572,1.859,11.55,212.6,114.17,126.36,3.28,0.239,1510,0.884,0.135719864
10.7,0.7068,69.81,20.472,5.44,86,332.54,0,119.15,0.00169,213000,19.5,0.120061869
19.3,0.0525,1.877,1.779,21.79,25.69,111.65,70.49,1.98,0.3832,939,0.826,0.154596154
17,0.0399,2.696,2.588,1.33,216.31,251.26,25.53,2.8,0.2227,1620,1.61,0.134864697
18.02,0.1728,2.259,1.869,6.89,287.62,356.93,122.12,2.65,0.2902,1240,0.854,0.142307926
16.99,0.1121,3.015,2.677,1.33,238.42,127.09,341.18,3.35,0.1883,1910,1.68,0.144000473
25.9,0.2473,1.4,1.054,14.29,27.81,355.17,3.56,1.75,0.5953,605,0.0584,0.130903237
18,0.235,2.832,2.167,10.7,73.77,226.68,234.87,3.5,0.2068,1740,1.17,0.141954615
16.97,0.0904,3.114,2.833,6.12,141.22,359.48,246.49,3.4,0.1793,2010,1.85,0.139642032
18.18,0.1145,2.771,2.454,4.5,161.16,189.68,35.78,3.09,0.2136,1690,1.45,0.153258063
18.42,0.1461,2.248,1.92,1.71,123.88,178.88,120.46,2.58,0.2924,1230,0.905,0.145668842
17.07,0.053,2.8,2.651,6.17,38.6,20.04,307.29,2.95,0.2104,1710,1.66,0.148518473
17.31,0.3098,2.623,1.81,11.09,164.52,223.16,14.75,3.44,0.2321,1550,0.831,0.137487868
17.22,0.1377,3.191,2.752,9.51,253.61,99.17,357.23,3.63,0.1729,2080,1.77,0.142530854
18.81,0.1436,2.217,1.898,2.8,129.85,114.05,157.59,2.54,0.2986,1210,0.888,0.131634261
17.3,0.1921,2.58,2.084,12.13,146.85,12.67,245.81,3.08,0.2378,1510,1.1,0.141315241
17.6,0.1036,2.586,2.318,12.13,316.49,94,241.2,2.85,0.237,1520,1.37,0.135178022
17.73,0.117,2.267,2.002,4.33,13.29,60.17,306.63,2.53,0.2888,1250,1.02,0.132573876
17.6,0.1805,3.16,2.589,16.31,203.16,92.96,60.82,3.73,0.1755,2050,1.64,0.127396208
17.3,0.0919,2.78,2.525,5.15,118.13,305.34,36.46,3.04,0.2126,1690,1.54,0.154343183
16.9,0.2853,3.086,2.206,19.69,107.83,234.95,159.44,3.97,0.1818,1980,1.25,0.125342658
16.36,0.0894,3.142,2.861,11.75,218.61,142.36,38.01,3.42,0.177,2030,1.87,0.151597506
16.4,0.1264,3.243,2.833,15.08,54.18,358.85,64.15,3.65,0.1688,2130,1.84,0.143782526
19.54,0.1813,2.389,1.956,1.75,18.74,24.71,126.35,2.82,0.2668,1350,0.965,0.134984868
18.3,0.2264,3.052,2.361,8.11,203.36,163,166.67,3.74,0.1849,1950,1.36,0.131987484
17.43,0.1003,2.258,2.032,7.67,341.49,178.25,97.55,2.48,0.2905,1240,1.04,0.136515339
17.45,0.0756,2.761,2.553,4.93,158.18,245.51,177.8,2.97,0.2148,1680,1.57,0.154144221
17.2,0.1429,2.543,2.18,6.71,9.48,44.05,263.15,2.91,0.243,1480,1.2,0.137704227
15.07,0.0361,3.101,2.989,8.89,331.62,303.67,155.46,3.21,0.1805,1990,1.98,0.147172028
15.54,0.1769,2.54,2.09,11.4,248.81,71.89,95.55,2.99,0.2435,1480,1.11,0.147141433
15.78,0.1513,3.145,2.669,27.4,45.91,303.3,10.41,3.62,0.1767,2040,1.75,0.144831497
16.14,0.0237,2.878,2.81,6.32,43.18,28.42,258.21,2.95,0.2019,1780,1.82,0.13250561
